'Madagascar', 'MDG', 'MGA', '', 'Malagasy Ariary', '2228.966667', 'Active', 'No', 'No',
'Macedonia', 'MKD', 'MKD', '', 'Macedonian Denar', '49.998625', 'Active', 'No', 'No',
'Myanmar', 'MMR', 'MMK', '', 'Myanma Kyat', '871.705', 'Active', 'No', 'No',
'Mongolia', 'MNG', 'MNT', '', 'Mongolian Tugrik', '1397.929993', 'Active', 'No', 'No',
'Macau', 'MAC', 'MOP', '', 'Macanese Pataca', '7.9522', 'Active', 'No', 'No',
'Mauritania', 'MRT', 'MRO', '', 'Mauritanian Ouguiya', '300.681667', 'Active', 'No', 'No',
'Mauritius', 'MUS', 'MUR', '', 'Mauritian Rupee', '30.411164', 'Active', 'No', 'No',
'Maldives', 'MDV', 'MVR', '', 'Maldivian Rufiyaa', '15.334333', 'Active', 'No', 'No',
'Malawi', 'MWI', 'MWK', '', 'Malawian Kwacha', '273.352508', 'Active', 'No', 'No',
'Mexico', 'MEX', 'MXN', '$', 'Mexican Peso', '13.103786', 'Active', 'No', 'Yes',
'Malaysia', 'MYS', 'MYR', 'RM', 'Malaysian Ringgit', '3.095787', 'Active', 'No', 'Yes',
'Mozambique', 'MOZ', 'MZN', '', 'Mozambican Metical', '28.50875', 'Active', 'No', 'No',
'Namibia', 'NAM', 'NAD', '', 'Namibian Dollar', '8.255996', 'Active', 'No', 'No',
'Nigeria', 'NGA', 'NGN', '', 'Nigerian Naira', '157.304594', 'Active', 'No', 'No',
'Nicaragua', 'NIC', 'NIO', '', 'Nicaraguan Cordoba', '23.626742', 'Active', 'No', 'No',
'Bouvet Island', 'BVT', 'NOK', '', 'Norwegian Krone', '5.854828', 'Active', 'No', 'No',
'Norway', 'NOR', 'NOK', 'kr', 'Norwegian Krone', '5.854828', 'Active', 'No', 'Yes',
'Svalbard and Jan Mayen Islands', 'SJM', 'NOK', '', 'Norwegian Krone', '5.854828', 'Active', 'No', 'No',
'Nepal', 'NPL', 'NPR', '', 'Nepalese Rupee', '88.11028', 'Active', 'No', 'No',
'Cook Islands', 'COK', 'NZD', '', 'New Zealand Dollar', '1.224302', 'Active', 'No', 'No',
'New Zealand', 'NZL', 'NZD', '$', 'New Zealand Dollar', '1.224302', 'Active', 'No', 'Yes',
'Niue', 'NIU', 'NZD', '', 'New Zealand Dollar', '1.224302', 'Active', 'No', 'No',
'Pitcairn Island', 'PCN', 'NZD', '', 'New Zealand Dollar', '1.224302', 'Active', 'No', 'No',
'Tokelau', 'TKL', 'NZD', '', 'New Zealand Dollar', '1.224302', 'Active', 'No', 'No',
'Oman', 'OMN', 'OMR', '', 'Omani Rial', '0.384812', 'Active', 'No', 'No',
'Panama', 'PAN', 'PAB', '', 'Panamanian Balboa', '1', 'Active', 'No', 'No',
'Peru', 'PER', 'PEN', '', 'Peruvian Nuevo Sol', '2.603013', 'Active', 'No', 'No',
